dacpac	sp_name	regex_sources	regex_targets	regex_exec	edge_count
customer	CONSUMPTION_FINANCE.spLoadFactSAPSalesSponsorRiskInterestQuarterly	[consumption_finance].[factsapsalesinterestsummary],[consumption_finance].[quarterranges],[dbo].[dimdate]	[consumption_finance].[factsapsalessponsorriskinterestquarterly]	[dbo].[logmessage]	6
customer	CONSUMPTION_FINANCE.spLoadFactSAPSalesSponsorRiskRetainerQuarterly	[consumption_finance].[factsapsalesretainerdetails],[consumption_finance].[factsapsalessponsorriskretainerquarterly],[consumption_finance].[quarterranges],[dbo].[dimdate]	[consumption_finance].[factsapsalessponsorriskretainerquarterly]	[dbo].[logmessage],[dbo].[splastrowcount]	8
customer	CONSUMPTION_FINANCE.spLoadFactSAPSalesSponsorRiskSnapshot	[consumption_finance].[datafilters],[consumption_finance].[dimcustomersprojects],[consumption_finance].[fact_sap_sales_details],[consumption_finance].[factsapsalessponsorrisksnapshot],[consumption_finance].[sap_sales_details_metrics],[dbo].[dimdate]	[consumption_finance].[factsapsalessponsorrisksnapshot]	[dbo].[logmessage],[dbo].[splastrowcount]	10
customer	CONSUMPTION_FINANCE.spLoadFactTables	-	-	[consumption_finance].[sploadfactagingsap],[consumption_finance].[sploadfactglcognos],[consumption_finance].[sploadfactglsap],[consumption_finance].[sploadglcognosdata],[consumption_powerbi].[sploadfactaggregatedlaborcost],[consumption_powerbi].[sploadfactlaborcostforearnedvalue_1],[consumption_powerbi].[sploadfactlaborcostforearnedvalue_2]	7
customer	CONSUMPTION_FINANCE.spLoadGLCognosData	[consumption_finance].[glcognosdata],[staging_finance_cognos].[glcognosdata_hc100500],[staging_finance_cognos].[v_ccr2powerbi_facts]	[consumption_finance].[glcognosdata],[staging_finance_cognos].[glcognosdata_hc100500]	[dbo].[logmessage],[dbo].[splastrowcount]	7
customer	CONSUMPTION_FINANCE.spLoadQuarterRanges	[consumption_finance].[fact_sap_sales_summary],[dbo].[dimdate]	[consumption_finance].[quarterranges]	[dbo].[logmessage]	5
customer	CONSUMPTION_FINANCE.spLoadSAPSalesDetails	[consumption_finance].[sap_sales_details],[staging_finance_sap].[sap_sales_details]	[consumption_finance].[sap_sales_details]	[dbo].[logmessage],[dbo].[splastrowcount]	5
customer	CONSUMPTION_FINANCE.spLoadSAPSalesDetailsHistory	[consumption_finance].[sap_sales_details_history],[staging_finance_file].[sap_sales_details_history]	[consumption_finance].[sap_sales_details_history]	[dbo].[logmessage],[dbo].[splastrowcount]	4
customer	CONSUMPTION_FINANCE.spLoadSAPSalesDetailsMetrics	[consumption_finance].[sap_sales_details],[consumption_finance].[sap_sales_details_history],[consumption_finance].[sap_sales_details_metrics],[consumption_finance].[sap_sales_summary_metrics],[consumption_finance].[sap_tcurr]	[consumption_finance].[sap_sales_details_metrics]	[dbo].[logmessage],[dbo].[splastrowcount]	8
customer	CONSUMPTION_FINANCE.spLoadSAPSalesInterestSummaryMetrics	[consumption_finance].[sap_sales_interest_summary_metrics],[consumption_finance].[sap_sales_summary],[consumption_finance].[sap_sales_summary_metrics],[consumption_finance].[udfgetdatafiltercolumnvalue]	[consumption_finance].[sap_sales_interest_summary_metrics]	[dbo].[logmessage],[dbo].[splastrowcount]	8
